State,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
United States,61372,60309,58476,55613,55612,54569,54673,55520,57010,57412,59534,58746,58291,57674,57875,57947,58609,59938,60062,58612,56533,55394,54600,52942,52334,52615,53025
Alabama,51113,48237,46053,43820,46746,46490,46520,46120,45789,50761,50028,46255,46745,47651,49774,51380,48800,50566,53502,54664,48794,47294,41646,44626,42017,44323,42852
Alaska,72231,77351,77717,70095,70413,68080,62731,65178,70555,73032,74657,68761,70326,71632,69257,72110,79616,75436,75854,76408,73321,82374,76837,74443,71917,71791,71482
Arizona,61125,58328,54060,51050,54394,50320,53108,52839,52385,53544,55957,56864,56931,57039,55000,54292,59270,56788,54600,55906,50018,49377,49452,51349,51110,50420,54101
Arkansas,48829,46894,44282,46560,41789,41735,45114,43477,41847,45180,48349,45164,46126,45511,42756,44253,46272,42391,43807,41700,39968,42332,41362,41950,38594,41015,41248
California,69759,68070,65843,62693,62357,60990,58292,61162,64291,65071,66054,67421,65122,64033,65867,64817,65596,66827,64391,61700,60641,60576,59300,57975,57078,59943,59253
Colorado,74172,72084,68906,63162,69187,61242,64040,67866,64057,69556,72462,67882,63479,66198,66722,65988,68559,68860,71103,70239,66048,63912,65224,62081,57773,55788,55442
Connecticut,72780,77556,75417,72719,72238,68720,71452,74361,74274,73823,76017,76056,71514,71680,73436,72947,74042,71618,74669,70102,67197,65737,64482,67436,66196,70141,74196
Delaware,62318,59294,59759,59619,56027,52382,59704,62211,59686,57867,64697,63910,64468,62507,65492,67841,68844,71893,68817,62490,65742,61351,55965,58864,60413,61274,57353
D.C.,83382,72508,72501,70767,63627,69789,60350,64142,60863,63446,60186,59082,56614,56525,60181,53385,57140,58842,57072,50394,48673,49891,49268,49418,45739,51947,52601
Florida,53681,52277,50518,47822,50813,49279,49267,49650,52261,51196,54273,55669,54093,52732,52068,51956,50550,55465,52882,52619,49582,47823,47661,48069,47826,46970,47967
Georgia,57016,54678,52529,51362,49766,51472,50216,49707,49638,52760,57647,60139,57788,53316,56699,58671,59092,59811,58187,58280,56011,50718,54637,51634,53041,49456,47896
Hawaii,73575,73684,66751,73820,66215,60181,64496,67084,63735,70215,75876,73699,74976,73165,69253,64634,65842,73579,65683,61539,62536,65195,68661,69337,71466,72325,65557
Idaho,60208,57780,53414,55387,52824,51259,51839,53012,53575,54121,58291,56323,55586,57705,56611,51533,53076,53688,52836,55288,51032,54172,52357,51748,51947,47579,45967
Illinois,64609,62706,62508,56918,58568,55340,55310,57156,60552,60780,62228,59319,60898,59942,60327,58358,64082,65754,68377,65082,63069,61734,61001,57565,55041,54186,56120
Indiana,58873,57300,53786,49812,52705,49372,48547,51986,50743,53094,56239,55341,53398,55066,56682,56086,56043,58332,60272,59887,59411,54855,53493,45712,49376,48998,47680
Iowa,63481,60365,62965,59918,60612,57163,54853,55227,58091,57228,57964,58655,58510,56447,55291,56089,56872,58512,60656,55799,51611,51831,56912,54280,48016,49364,50257
Kansas,57872,58032,56768,55393,52335,53485,50406,51890,51215,54643,57477,55517,52882,53423,59096,58234,57481,58609,55121,55335,55717,50857,48616,46474,49870,52117,51563
Kentucky,51348,46345,43857,44346,45869,43947,43534,46313,48863,46963,46757,48123,46178,46325,49348,50231,53348,51766,49793,54643,51105,50588,47765,43640,40834,40333,41827
